"Statistic","CensusYear","Age Group","County and City","Socio Economic Group","Labour Force","UNIT","VALUE"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Sligo","D. Non-manual","All unemployed persons","Number","323"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Sligo","D. Non-manual","All persons aged 15 years and over not in labour force","Number","106"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Sligo","E. Manual skilled","All persons aged 15 years and over","Number","881"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Sligo","E. Manual skilled","Persons at work","Number","501"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Sligo","E. Manual skilled","All unemployed persons","Number","304"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Sligo","E. Manual skilled","All persons aged 15 years and over not in labour force","Number","76"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Sligo","F. Semi-skilled","All persons aged 15 years and over","Number","831"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Sligo","F. Semi-skilled","Persons at work","Number","651"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Sligo","F. Semi-skilled","All unemployed persons","Number","122"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Sligo","F. Semi-skilled","All persons aged 15 years and over not in labour force","Number","58"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Sligo","G. Unskilled","All persons aged 15 years and over","Number","255"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Sligo","G. Unskilled","Persons at work","Number","150"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Sligo","G. Unskilled","All unemployed persons","Number","81"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Sligo","G. Unskilled","All persons aged 15 years and over not in labour force","Number","24"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Sligo","H. Own account workers","All persons aged 15 years and over","Number","353"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Sligo","H. Own account workers","Persons at work","Number","257"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Sligo","H. Own account workers","All unemployed persons","Number","55"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Sligo","H. Own account workers","All persons aged 15 years and over not in labour force","Number","41"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Sligo","I. Farmers","All persons aged 15 years and over","Number","121"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Sligo","I. Farmers","Persons at work","Number","80"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Sligo","I. Farmers","All unemployed persons","Number","10"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Sligo","I. Farmers","All persons aged 15 years and over not in labour force","Number","31"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Sligo","J. Agricultural workers","All persons aged 15 years and over","Number","30"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Sligo","J. Agricultural workers","Persons at work","Number","20"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Sligo","J. Agricultural workers","All unemployed persons","Number","7"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Sligo","J. Agricultural workers","All persons aged 15 years and over not in labour force","Number","3"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Sligo","Z. All others gainfully occupied and unknown","All persons aged 15 years and over","Number","1417"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Sligo","Z. All others gainfully occupied and unknown","Persons at work","Number","314"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Sligo","Z. All others gainfully occupied and unknown","All unemployed persons","Number","442"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Sligo","Z. All others gainfully occupied and unknown","All persons aged 15 years and over not in labour force","Number","661"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Cavan","All socio-economic groups","All persons aged 15 years and over","Number","10860"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Cavan","All socio-economic groups","Persons at work","Number","7298"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Cavan","All socio-economic groups","All unemployed persons","Number","2104"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Cavan","All socio-economic groups","All persons aged 15 years and over not in labour force","Number","1458"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Cavan","A. Employers and managers","All persons aged 15 years and over","Number","1082"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Cavan","A. Employers and managers","Persons at work","Number","826"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Cavan","A. Employers and managers","All unemployed persons","Number","130"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Cavan","A. Employers and managers","All persons aged 15 years and over not in labour force","Number","126"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Cavan","B. Higher professional","All persons aged 15 years and over","Number","527"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Cavan","B. Higher professional","Persons at work","Number","448"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Cavan","B. Higher professional","All unemployed persons","Number","46"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Cavan","B. Higher professional","All persons aged 15 years and over not in labour force","Number","33"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Cavan","C. Lower professional","All persons aged 15 years and over","Number","1319"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Cavan","C. Lower professional","Persons at work","Number","1164"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Cavan","C. Lower professional","All unemployed persons","Number","82"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Cavan","C. Lower professional","All persons aged 15 years and over not in labour force","Number","73"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Cavan","D. Non-manual","All persons aged 15 years and over","Number","2432"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Cavan","D. Non-manual","Persons at work","Number","1937"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Cavan","D. Non-manual","All unemployed persons","Number","370"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Cavan","D. Non-manual","All persons aged 15 years and over not in labour force","Number","125"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Cavan","E. Manual skilled","All persons aged 15 years and over","Number","1497"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Cavan","E. Manual skilled","Persons at work","Number","831"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Cavan","E. Manual skilled","All unemployed persons","Number","468"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Cavan","E. Manual skilled","All persons aged 15 years and over not in labour force","Number","198"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Cavan","F. Semi-skilled","All persons aged 15 years and over","Number","1171"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Cavan","F. Semi-skilled","Persons at work","Number","844"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Cavan","F. Semi-skilled","All unemployed persons","Number","187"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Cavan","F. Semi-skilled","All persons aged 15 years and over not in labour force","Number","140"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Cavan","G. Unskilled","All persons aged 15 years and over","Number","361"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Cavan","G. Unskilled","Persons at work","Number","196"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Cavan","G. Unskilled","All unemployed persons","Number","127"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Cavan","G. Unskilled","All persons aged 15 years and over not in labour force","Number","38"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Cavan","H. Own account workers","All persons aged 15 years and over","Number","486"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Cavan","H. Own account workers","Persons at work","Number","340"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Cavan","H. Own account workers","All unemployed persons","Number","69"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Cavan","H. Own account workers","All persons aged 15 years and over not in labour force","Number","77"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Cavan","I. Farmers","All persons aged 15 years and over","Number","297"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Cavan","I. Farmers","Persons at work","Number","204"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Cavan","I. Farmers","All unemployed persons","Number","26"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Cavan","I. Farmers","All persons aged 15 years and over not in labour force","Number","67"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Cavan","J. Agricultural workers","All persons aged 15 years and over","Number","154"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Cavan","J. Agricultural workers","Persons at work","Number","124"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Cavan","J. Agricultural workers","All unemployed persons","Number","21"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Cavan","J. Agricultural workers","All persons aged 15 years and over not in labour force","Number","9"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Cavan","Z. All others gainfully occupied and unknown","All persons aged 15 years and over","Number","1534"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Cavan","Z. All others gainfully occupied and unknown","Persons at work","Number","384"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Cavan","Z. All others gainfully occupied and unknown","All unemployed persons","Number","578"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Cavan","Z. All others gainfully occupied and unknown","All persons aged 15 years and over not in labour force","Number","572"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Donegal","All socio-economic groups","All persons aged 15 years and over","Number","21900"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Donegal","All socio-economic groups","Persons at work","Number","13765"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Donegal","All socio-economic groups","All unemployed persons","Number","4826"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Donegal","All socio-economic groups","All persons aged 15 years and over not in labour force","Number","3309"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Donegal","A. Employers and managers","All persons aged 15 years and over","Number","2103"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Donegal","A. Employers and managers","Persons at work","Number","1516"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Donegal","A. Employers and managers","All unemployed persons","Number","311"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Donegal","A. Employers and managers","All persons aged 15 years and over not in labour force","Number","276"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Donegal","B. Higher professional","All persons aged 15 years and over","Number","1048"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Donegal","B. Higher professional","Persons at work","Number","856"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Donegal","B. Higher professional","All unemployed persons","Number","96"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Donegal","B. Higher professional","All persons aged 15 years and over not in labour force","Number","96"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Donegal","C. Lower professional","All persons aged 15 years and over","Number","3117"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Donegal","C. Lower professional","Persons at work","Number","2678"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Donegal","C. Lower professional","All unemployed persons","Number","242"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Donegal","C. Lower professional","All persons aged 15 years and over not in labour force","Number","197"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Donegal","D. Non-manual","All persons aged 15 years and over","Number","5744"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Donegal","D. Non-manual","Persons at work","Number","4498"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Donegal","D. Non-manual","All unemployed persons","Number","955"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Donegal","D. Non-manual","All persons aged 15 years and over not in labour force","Number","291"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Donegal","E. Manual skilled","All persons aged 15 years and over","Number","2710"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Donegal","E. Manual skilled","Persons at work","Number","1330"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Donegal","E. Manual skilled","All unemployed persons","Number","1024"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Donegal","E. Manual skilled","All persons aged 15 years and over not in labour force","Number","356"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Donegal","F. Semi-skilled","All persons aged 15 years and over","Number","1867"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Donegal","F. Semi-skilled","Persons at work","Number","1149"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Donegal","F. Semi-skilled","All unemployed persons","Number","482"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Donegal","F. Semi-skilled","All persons aged 15 years and over not in labour force","Number","236"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Donegal","G. Unskilled","All persons aged 15 years and over","Number","785"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Donegal","G. Unskilled","Persons at work","Number","342"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Donegal","G. Unskilled","All unemployed persons","Number","318"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Donegal","G. Unskilled","All persons aged 15 years and over not in labour force","Number","125"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Donegal","H. Own account workers","All persons aged 15 years and over","Number","979"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Donegal","H. Own account workers","Persons at work","Number","586"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Donegal","H. Own account workers","All unemployed persons","Number","233"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Donegal","H. Own account workers","All persons aged 15 years and over not in labour force","Number","160"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Donegal","I. Farmers","All persons aged 15 years and over","Number","376"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Donegal","I. Farmers","Persons at work","Number","235"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Donegal","I. Farmers","All unemployed persons","Number","27"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Donegal","I. Farmers","All persons aged 15 years and over not in labour force","Number","114"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Donegal","J. Agricultural workers","All persons aged 15 years and over","Number","136"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Donegal","J. Agricultural workers","Persons at work","Number","94"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Donegal","J. Agricultural workers","All unemployed persons","Number","27"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Donegal","J. Agricultural workers","All persons aged 15 years and over not in labour force","Number","15"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Donegal","Z. All others gainfully occupied and unknown","All persons aged 15 years and over","Number","3035"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Donegal","Z. All others gainfully occupied and unknown","Persons at work","Number","481"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Donegal","Z. All others gainfully occupied and unknown","All unemployed persons","Number","1111"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Donegal","Z. All others gainfully occupied and unknown","All persons aged 15 years and over not in labour force","Number","1443"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Monaghan","All socio-economic groups","All persons aged 15 years and over","Number","9148"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Monaghan","All socio-economic groups","Persons at work","Number","6358"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Monaghan","All socio-economic groups","All unemployed persons","Number","1712"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Monaghan","All socio-economic groups","All persons aged 15 years and over not in labour force","Number","1078"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Monaghan","A. Employers and managers","All persons aged 15 years and over","Number","934"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Monaghan","A. Employers and managers","Persons at work","Number","740"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Monaghan","A. Employers and managers","All unemployed persons","Number","100"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Monaghan","A. Employers and managers","All persons aged 15 years and over not in labour force","Number","94"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Monaghan","B. Higher professional","All persons aged 15 years and over","Number","424"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Monaghan","B. Higher professional","Persons at work","Number","366"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Monaghan","B. Higher professional","All unemployed persons","Number","33"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Monaghan","B. Higher professional","All persons aged 15 years and over not in labour force","Number","25"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Monaghan","C. Lower professional","All persons aged 15 years and over","Number","1054"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Monaghan","C. Lower professional","Persons at work","Number","914"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Monaghan","C. Lower professional","All unemployed persons","Number","89"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Monaghan","C. Lower professional","All persons aged 15 years and over not in labour force","Number","51"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Monaghan","D. Non-manual","All persons aged 15 years and over","Number","2012"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Monaghan","D. Non-manual","Persons at work","Number","1651"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Monaghan","D. Non-manual","All unemployed persons","Number","267"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Monaghan","D. Non-manual","All persons aged 15 years and over not in labour force","Number","94"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Monaghan","E. Manual skilled","All persons aged 15 years and over","Number","1463"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Monaghan","E. Manual skilled","Persons at work","Number","849"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Monaghan","E. Manual skilled","All unemployed persons","Number","440"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Monaghan","E. Manual skilled","All persons aged 15 years and over not in labour force","Number","174"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Monaghan","F. Semi-skilled","All persons aged 15 years and over","Number","1057"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Monaghan","F. Semi-skilled","Persons at work","Number","777"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Monaghan","F. Semi-skilled","All unemployed persons","Number","172"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Monaghan","F. Semi-skilled","All persons aged 15 years and over not in labour force","Number","108"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Monaghan","G. Unskilled","All persons aged 15 years and over","Number","355"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Monaghan","G. Unskilled","Persons at work","Number","196"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Monaghan","G. Unskilled","All unemployed persons","Number","117"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Monaghan","G. Unskilled","All persons aged 15 years and over not in labour force","Number","42"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Monaghan","H. Own account workers","All persons aged 15 years and over","Number","366"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Monaghan","H. Own account workers","Persons at work","Number","246"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Monaghan","H. Own account workers","All unemployed persons","Number","72"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Monaghan","H. Own account workers","All persons aged 15 years and over not in labour force","Number","48"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Monaghan","I. Farmers","All persons aged 15 years and over","Number","250"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Monaghan","I. Farmers","Persons at work","Number","166"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Monaghan","I. Farmers","All unemployed persons","Number","26"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Monaghan","I. Farmers","All persons aged 15 years and over not in labour force","Number","58"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Monaghan","J. Agricultural workers","All persons aged 15 years and over","Number","196"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Monaghan","J. Agricultural workers","Persons at work","Number","168"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Monaghan","J. Agricultural workers","All unemployed persons","Number","19"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Monaghan","J. Agricultural workers","All persons aged 15 years and over not in labour force","Number","9"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Monaghan","Z. All others gainfully occupied and unknown","All persons aged 15 years and over","Number","1037"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Monaghan","Z. All others gainfully occupied and unknown","Persons at work","Number","285"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Monaghan","Z. All others gainfully occupied and unknown","All unemployed persons","Number","377"
"Population Aged 15 Years and Over 2011 to 2016","2011","25 - 34 years","Monaghan","Z. All others gainfully occupied and unknown","All persons aged 15 years and over not in labour force","Number","375"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","State","All socio-economic groups","All persons aged 15 years and over","Number","695073"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","State","All socio-economic groups","Persons at work","Number","484636"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","State","All socio-economic groups","All unemployed persons","Number","93638"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","State","All socio-economic groups","All persons aged 15 years and over not in labour force","Number","116799"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","State","A. Employers and managers","All persons aged 15 years and over","Number","119253"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","State","A. Employers and managers","Persons at work","Number","92957"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","State","A. Employers and managers","All unemployed persons","Number","9177"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","State","A. Employers and managers","All persons aged 15 years and over not in labour force","Number","17119"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","State","B. Higher professional","All persons aged 15 years and over","Number","54489"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","State","B. Higher professional","Persons at work","Number","45119"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","State","B. Higher professional","All unemployed persons","Number","2615"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","State","B. Higher professional","All persons aged 15 years and over not in labour force","Number","6755"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","State","C. Lower professional","All persons aged 15 years and over","Number","92183"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","State","C. Lower professional","Persons at work","Number","79579"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","State","C. Lower professional","All unemployed persons","Number","5148"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","State","C. Lower professional","All persons aged 15 years and over not in labour force","Number","7456"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","State","D. Non-manual","All persons aged 15 years and over","Number","134398"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","State","D. Non-manual","Persons at work","Number","110308"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","State","D. Non-manual","All unemployed persons","Number","14360"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","State","D. Non-manual","All persons aged 15 years and over not in labour force","Number","9730"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","State","E. Manual skilled","All persons aged 15 years and over","Number","62460"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","State","E. Manual skilled","Persons at work","Number","36088"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","State","E. Manual skilled","All unemployed persons","Number","15408"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","State","E. Manual skilled","All persons aged 15 years and over not in labour force","Number","10964"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","State","F. Semi-skilled","All persons aged 15 years and over","Number","62294"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","State","F. Semi-skilled","Persons at work","Number","44645"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","State","F. Semi-skilled","All unemployed persons","Number","10001"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","State","F. Semi-skilled","All persons aged 15 years and over not in labour force","Number","7648"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","State","G. Unskilled","All persons aged 15 years and over","Number","22234"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","State","G. Unskilled","Persons at work","Number","12969"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","State","G. Unskilled","All unemployed persons","Number","6260"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","State","G. Unskilled","All persons aged 15 years and over not in labour force","Number","3005"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","State","H. Own account workers","All persons aged 15 years and over","Number","39628"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","State","H. Own account workers","Persons at work","Number","27304"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","State","H. Own account workers","All unemployed persons","Number","5404"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","State","H. Own account workers","All persons aged 15 years and over not in labour force","Number","6920"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","State","I. Farmers","All persons aged 15 years and over","Number","19022"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","State","I. Farmers","Persons at work","Number","14604"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","State","I. Farmers","All unemployed persons","Number","617"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","State","I. Farmers","All persons aged 15 years and over not in labour force","Number","3801"
